Year,Price_wheat_ton,Price_rice_ton
2002,110.91,197.5
2002,115.44,202.67
2002,123.5,199.6
2002,130.05,190.33
2002,151.84,186.6
2002,156.82,186.25
2002,160.02,186.75
2002,146.24,186.5
2003,137.53,200.75
2003,140.77,198.75
2003,129.36,197
2003,125.8,195
2003,129.15,198
2003,126.28,203.4
2003,128.95,198.5
2003,144.17,195
2003,138.36,197.6
2003,142.82,195.75
2003,160.94,193.4
2003,158.77,198.25
2004,155.89,212.75
2004,157.49,213.25
2004,156.51,237.8
2004,157.24,240.75
2004,148.31,232
2004,137.21,229
2004,131.63,230.75
2004,129.13,239
2004,138.19,235.25
2004,141.44,244
2004,140.82,259.2
2004,139.46,278.25
2005,142.47,287
2005,141.62,290
2005,152.16,292.75
2005,132.14,297.25
2005,133.13,293.8
2005,131.06,285
2005,130.85,276.75
2005,131.77,282.8
2005,128.24,285.25
2005,135.26,286.4
2005,132.35,277.75
2005,137.59,280.5
2006,144.16,291.25
2006,149.25,301.5
2006,142.66,303.5
2006,140.82,302.25
2006,150.92,308
2006,140.14,312.5
2006,143.85,315.4
2006,148.36,312.67
2006,166.89,309.2
2006,197.77,301
2006,192.94,296.25
2006,189.85,305
2007,175.98,313
2007,176.46,315
2007,168.54,318.67
2007,175.27,316.5
2007,180.78,317.6
2007,205.03,323.25
2007,225.61,328.8
2007,253.9,327.5
2007,322.98,325
2007,325.55,329.2
2007,307.65,342
2007,345.31,360.67
2008,343.81,375.6
2008,388.75,464.75
2008,419.61,594
2008,323.43,907
2008,255.1,901.8
2008,254.74,757
2008,245.45,731.75
2008,255.37,693.5
2008,223.77,683.8
2008,185.92,609.25
2008,182.98,552
2008,179.31,531.8
2009,195.11,580
2009,183.35,590.75
2009,183.72,588.25
2009,182.62,549.67
2009,202.46,533
2009,201.72,574.5
2009,175.63,572
2009,161.67,526.25
2009,158.37,518.75
2009,175.63,493
2009,204.66,542.75
2009,206.5,591
2010,198.78,568.8
2010,191.8,535
2010,189.96,502.2
2010,187.76,466
2010,190.33,451.33
2010,182.62,440
2010,222.28,441.8
2010,261.61,452.75
2010,276.31,476.5
2010,267.49,486
2010,278.52,514.5
2010,308.65,532
2011,320.4,516.8
2011,338.78,524
2011,303.14,492.75
2011,314.89,484.25
2011,308.65,481.4
2011,282.19,513.75
2011,266.39,538.25
2011,277.62,566
2011,267.49,598.75
2011,253.53,599.4
2011,253.16,615.25
2011,244.71,585.75
2012,253.9,542
2012,263.08,537.5
2012,259.78,548
2012,254.63,547.75
2012,251.33,600.5
2012,249.49,600
2012,322.98,573.75
2012,333.73,567.75
2012,343.55,563.25
2012,340.25,558.25
2012,346.49,559.25
2012,325.18,557.8
2013,309.01,564.2
2013,297.99,563
2013,285.87,559
2013,278.15,557
2013,279.25,543.5
2013,268.23,524.25
2013,260.88,509
2013,252.43,478.75
2013,259.8,444
2013,287.72,439
2013,274.43,438
2013,267.05,451
2014,246.55,450
2014,258.67,459
2014,286.92,422
2014,277.09,395
2014,277.21,388
2014,236.65,397
2014,218.31,422
2014,220.36,445
2014,202.83,432
2014,220.14,428
2014,236.03,418
2014,261.78,418
2015,231.47,420
2015,219.85,420
2015,218.8,410
2015,209.7,399
2015,200.77,381
2015,204.99,376
2015,207.38,392
2015,187.87,373
2015,193.97,357
2015,206.34,373
2015,203.41,368
2015,191.98,363
2016,191.73,369
2016,188.43,384
2016,189.69,384
2016,192.76,395
2016,189.85,433
2016,187.01,441
2016,166.51,442
2016,159.28,415
2016,157.56,384
2016,164.37,369
2016,167.28,365
2016,161.17,373
2017,173.61,377
2017,181,367
2017,176.54,370
2017,172.19,380
2017,174.97,421
2017,183.36,458
2017,201.77,417
2017,172.68,393
2017,176.9,402
2017,177.01,394
2017,175.66,402
2017,172.49,406
2018,178.34,442
2018,190.56,425
2018,198.86,430
2018,198.79,451
2018,209.95,451
2018,206,427
2018,206.93,398
2018,217.44,405
2018,202.05,405
2018,209.1,409
2018,210.85,401
2018,217.81,404
2019,220.16,410
2019,217.25,408
2019,200.39,406
2019,197.33,413
2019,200.32,409
2019,222.41,420
2019,203.96,416
2019,197.52,430
2019,201.91,427
2019,212.85,424
2019,223.54,421
2019,237.68,432
2020,247.99,451
2020,238.98,450
2020,228.12,494
2020,221.69,564
2020,209.93,510
2020,200.5,520
2020,212.74,480
2020,208.94,505
2020,219.68,507
2020,245.2,471
2020,247.95,489
2020,251.15,520
2021,276.45,545
2021,276.63,557
2021,272.58,525
2021,281.38,495
2021,270.98,493
2021,263.48,466
2021,254.67,414
2021,276.18,403
2021,263.6,400
2021,334.5,401
2021,327.82,400
2021,332.06,400
2022,,427
